	PhraseId	SentenceId	Phrase	Sentiment
0	1	1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	1
63	64	2	This quiet , introspective and entertaining independent is worth seeking .	4
81	82	3	Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .	1
116	117	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .	3
156	157	5	Aggressive self-glorification and a manipulative whitewash .	1
166	167	6	A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	4
198	199	7	Narratively , Trouble Every Day is a plodding mess .	1
213	214	8	The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3
247	248	9	But it does n't leave you with much .	1
259	260	10	You could hate it for the same reason .	1
271	272	11	There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .	1
306	307	12	Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .	1
352	353	13	The performances are an absolute joy .	4
363	364	14	Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .	3
407	408	15	I still like Moonlight Mile , better judgment be damned .	3
423	424	16	A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .	3
458	459	17	a bilingual charmer , just like the woman who inspired it	3
473	474	18	Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	2
516	517	19	As inept as big-screen remakes of The Avengers and The Wild Wild West .	1
536	537	20	It 's everything you 'd expect -- but nothing more .	2
551	552	21	Best indie of the year , so far .	4
563	564	22	Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .	3
619	620	23	It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .	1
647	648	24	That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .	2
686	687	25	The plot is romantic comedy boilerplate from start to finish .	2
702	703	26	It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .	2
725	726	27	A film that clearly means to preach exclusively to the converted .	2
741	742	28	While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	1
786	787	29	The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .	1
810	811	30	More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .	2
839	840	31	Nothing more than a run-of-the-mill action flick .	2
848	849	32	Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .	0
881	882	33	Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .	2
916	917	34	There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .	2
944	945	35	Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .	2
970	971	36	They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .	1
1002	1003	37	It almost feels as if the movie is more interested in entertaining itself than in amusing us .	1
1023	1024	38	The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . '	0
1050	1051	39	Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .	3
1087	1088	40	So could young romantics out on a date .	3
1099	1100	41	Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .	0
1134	1135	42	Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .	3
1164	1165	43	If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4
